SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
FRN132AR1S-4A,Inverter-FRN132AR1S-4A,Inverters,68,131,60,83.0000,99.0000,0.534,Carton Case,3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132AR1S-4E,Inverter-FRN132AR1S-4E,Inverters,68,131,60,83.0000,100.0000,0.534,Carton Case,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132F1S-4A,Inverter-FRN132F1S-4A,Inverters,65,130,51,76.0000,91.0000,0.431,Carton Case,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132F1S-4E,Inverter-FRN132F1S-4E,Inverters,,,,No Data,No Data,0.000,Carton Case,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132F1S-4J,Inverter-FRN132F1S-4J,Inverters,65,130,51,77.0000,92.0000,0.431,Carton Case,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1E-4A,Inverter-FRN132G1E-4A,Inverters,65,110,50,92.0000,102.0000,0.358,Carton Case,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1E-4E,Inverter-FRN132G1E-4E,Inverters,75,155,60,104.0000,114.0000,0.698,Carton Case,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1E-4EAQ,Inverter-FRN132G1E-4EAQ,Inverters,,,,No Data,No Data,0.000,Carton Case,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1E-4EBU,Inverter-FRN132G1E-4EBU,Inverters,,,,No Data,No Data,0.000,Carton Case,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1S-4A,Inverter-FRN132G1S-4A,Inverters,65,110,50,92.0000,103.0000,0.358,Carton Case,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G1S-4T,Inverter-FRN132G1S-4T,Inverters,65,155,60,No Data,No Data,0.605,Carton Case,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN132G2S-4J,Inverter-FRN132G2S-4J,Inverters,65,110,50,87.0000,96.0000,0.358,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN1385G2S-4G,Inverter-FRN1385G2S-4G,Inverters,127,176,75,454.0000,527.0000,1.676,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN1386G2E-4G,Inverter-FRN1386G2E-4G,Inverters,127,176,75,451.0000,531.0000,1.676,Carton Case,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN1386G2S-4G,Inverter-FRN1386G2S-4G,Inverters,127,176,75,451.0000,523.0000,1.676,Carton Case,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN1480G2E-4G,Inverter-FRN1480G2E-4G,Inverters,127,176,75,451.0000,531.0000,1.676,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN1480G2W-4GU,Inverter-FRN1480G2W-4GU,Inverters,129,230,89,451.0000,810.0000,2.641,Wooden Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN150AR1S-4U,Inverter-FRN150AR1S-4U,Inverters,68,131,60,81.0000,107.0000,0.534,Carton Case,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN150F1S-4DY,Inverter-FRN150F1S-4DY,Inverters,47,125,53,76.0000,86.0000,0.311,Carton Case,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN150F1S-4U,Inverter-FRN150F1S-4U,Inverters,47,125,53,76.0000,86.0000,0.311,Carton Case,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN150G1S-2U,Inverter-FRN150G1S-2U,Inverters,85,155,60,145.0000,166.0000,0.791,Carton Case,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN150G1S-4U,Inverter-FRN150G1S-4U,Inverters,68,131,60,92.0000,108.0000,0.534,Carton Case,3,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN150G1S-4U P,Inverter-FRN150G1S-4U P,Inverters,68,131,60,96.0000,106.0000,0.534,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN1.5AQ1L-4A,Inverter-FRN1.5AQ1L-4A,Inverters,,,,No Data,No Data,0.000,Carton,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15AQ1L-4A,Inverter-FRN15AQ1L-4A,Inverters,31,68,37,No Data,No Data,0.078,Carton,,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AQ1L-4E,Inverter-FRN1.5AQ1L-4E,Inverters,23.5,55,34.5,9.7010,9.7010,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AQ1L-4E,Inverter-FRN15AQ1L-4E,Inverters,31,68,37,18.3910,18.3910,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AQ1M-4A,Inverter-FRN1.5AQ1M-4A,Inverters,23.5,55,34.5,9.7560,9.7560,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AQ1M-4A,Inverter-FRN15AQ1M-4A,Inverters,31,68,37,18.4260,18.4260,0.078,Carton,,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AQ1M-4E,Inverter-FRN1.5AQ1M-4E,Inverters,23.5,55,34.5,9.6350,9.6350,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AQ1M-4E,Inverter-FRN15AQ1M-4E,Inverters,31,68,37,18.3900,18.3900,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN15AR1K-4DSL,Inverter-FRN15AR1K-4DSL,Inverters,31,68,37,18.5000,18.5000,0.078,Carton,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AR1L-2J,Inverter-FRN1.5AR1L-2J,Inverters,23.5,55,34.5,10.7450,10.7450,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AR1L-2J,Inverter-FRN15AR1L-2J,Inverters,31,74,37,23.0000,23.0000,0.085,Carton Case,,25,,,,,,,,,,,,2,,,4,,,,,,6,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AR1L-4A,Inverter-FRN1.5AR1L-4A,Inverters,23.5,55,34.5,9.7530,9.7530,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AR1L-4A,Inverter-FRN15AR1L-4A,Inverters,31,68,37,18.5380,18.5380,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AR1L-4E,Inverter-FRN1.5AR1L-4E,Inverters,23.5,55,34.5,9.7080,9.7080,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AR1L-4E,Inverter-FRN15AR1L-4E,Inverters,31,68,37,18.5170,18.5170,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN15AR1L-4J,Inverter-FRN15AR1L-4J,Inverters,31,68,37,18.5000,18.5000,0.078,Carton,,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN15AR1L-4TX,Inverter-FRN15AR1L-4TX,Inverters,31,68,37,19.4700,19.4700,0.078,Carton,,21,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AR1M-4A,Inverter-FRN1.5AR1M-4A,Inverters,23.5,55,34.5,9.7720,9.7720,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AR1M-4A,Inverter-FRN15AR1M-4A,Inverters,31,68,37,18.4810,18.4810,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5AR1M-4E,Inverter-FRN1.5AR1M-4E,Inverters,23.5,55,34.5,9.7350,9.7350,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN15AR1M-4E,Inverter-FRN15AR1M-4E,Inverters,31,68,37,18.5000,18.5000,0.078,Carton,3,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN1.5C2S-2J,Inverter-FRN1.5C2S-2J,Inverters,14.5,19.5,20.5,1.8630,1.8630,0.006,Carton,6,,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15C2S-2J,Inverter-FRN15C2S-2J,Inverters,30,34,30,6.1000,6.1000,0.031,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5C2S-4J,Inverter-FRN1.5C2S-4J,Inverters,14.5,19.5,20.5,1.8960,1.8960,0.006,Carton,6,,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15C2S-4J,Inverter-FRN15C2S-4J,Inverters,30,34,30,6.0680,6.0680,0.031,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5C2S-7J,Inverter-FRN1.5C2S-7J,Inverters,14.5,19.5,20.5,1.9500,1.9500,0.006,Carton,,,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN1.5E1E-4A,Inverter-FRN1.5E1E-4A,Inverters,16.5,22,27.5,3.7000,3.7000,0.010,Carton,,3.6,,,4,,,6,,,18,,,26,,,36,,,,,,48,,,72,,,,,,58,,,87,,,72,FALSE
FRN15E1E-4A,Inverter-FRN15E1E-4A,Inverters,27,51,33.5,10.2300,10.2300,0.046,Carton,,10.2,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN1.5E1E-4E,Inverter-FRN1.5E1E-4E,Inverters,16.5,22,27.5,3.7000,3.7000,0.010,Carton,,3.6,,,4,,,6,,,18,,,26,,,36,,,,,,48,,,72,,,,,,58,,,87,,,72,FALSE
FRN15E1E-4E,Inverter-FRN15E1E-4E,Inverters,27,51,33.5,10.1700,10.1700,0.046,Carton,,10,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN1.5E1E-4PD,Inverter-FRN1.5E1E-4PD,Inverters,16.5,22,27.5,3.6700,3.6700,0.010,Carton,,3.6,,,4,,,6,,,18,,,26,,,36,,,,,,48,,,72,,,,,,58,,,87,,,72,FALSE
FRN1.5E1E-7A,Inverter-FRN1.5E1E-7A,Inverters,16.5,22,27.5,3.6200,3.6200,0.010,Carton,,3.6,,,4,,,6,,,18,,,26,,,36,,,,,,48,,,72,,,,,,58,,,87,,,72,FALSE
FRN1.5E1E-7E,Inverter-FRN1.5E1E-7E,Inverters,16.5,22,27.5,3.6300,3.6300,0.010,Carton,,3.6,,,4,,,6,,,18,,,26,,,36,,,,,,48,,,72,,,,,,58,,,87,,,72,FALSE
FRN1.5E1S-2A,Inverter-FRN1.5E1S-2A,Inverters,14.5,19.5,20.5,2.1200,2.1200,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-2A,Inverter-FRN15E1S-2A,Inverters,30,34,32,7.6100,7.6100,0.033,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
FRN1.5E1S-2BM1,Inverter-FRN1.5E1S-2BM1,Inverters,14.5,19.5,20.5,2.1100,2.1100,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-2BM1,Inverter-FRN15E1S-2BM1,Inverters,30,34,30,7.4800,7.6200,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN15E1S-2LM1,Inverter-FRN15E1S-2LM1,Inverters,,,,No Data,No Data,0.000,Carton,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN1.5E1S-4A,Inverter-FRN1.5E1S-4A,Inverters,14.5,19.5,20.5,2.1300,2.1300,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-4A,Inverter-FRN15E1S-4A,Inverters,30,34,30,7.4300,7.4300,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5E1S-4BM1,Inverter-FRN1.5E1S-4BM1,Inverters,14.5,19.5,20.5,2.1300,2.1300,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-4BM1,Inverter-FRN15E1S-4BM1,Inverters,30,34,30,7.4400,7.4400,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5E1S-4E,Inverter-FRN1.5E1S-4E,Inverters,14.5,19.5,20.5,2.1400,2.1400,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-4E,Inverter-FRN15E1S-4E,Inverters,30,34,30,7.4200,7.4200,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5E1S-4JSF1E,Inverter-FRN1.5E1S-4JSF1E,Inverters,14.5,19.5,20.5,2.1300,2.1300,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN15E1S-4JSF1E,Inverter-FRN15E1S-4JSF1E,Inverters,30,34,30,7.6700,7.6700,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN1.5E1S-4LM,Inverter-FRN1.5E1S-4LM,Inverters,,,,No Data,No Data,0.000,Carton,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN15E1S-4LM,Inverter-FRN15E1S-4LM,Inverters,,,,No Data,No Data,0.000,Carton,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN15E1S-4LM1,Inverter-FRN15E1S-4LM1,Inverters,30,34,30,7.4800,7.4800,0.031,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN15E1S-4LM3,Inverter-FRN15E1S-4LM3,Inverters,30,34,32,7.5600,7.5600,0.033,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
FRN1.5E1S-7A,Inverter-FRN1.5E1S-7A,Inverters,14.5,19.5,24,2.2500,2.2500,0.007,Carton,,2,,,12,,,18,,,22,,,34,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,105,FALSE
FRN1.5E1S-7E,Inverter-FRN1.5E1S-7E,Inverters,14.5,19.5,24,2.2500,2.2500,0.007,Carton,,2,,,12,,,18,,,22,,,34,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,105,FALSE
FRN1.5E1S-7JSF1E,Inverter-FRN1.5E1S-7JSF1E,Inverters,14.5,19.5,24,2.2300,2.2300,0.007,Carton,,2,,,12,,,18,,,22,,,34,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,105,FALSE
FRN1.5E2S-4J,Inverter-FRN1.5E2S-4J,Inverters,14.5,19.5,20.5,1.7800,1.7800,0.006,Carton,,,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN1.5F1S-2J,Inverter-FRN1.5F1S-2J,Inverters,,,,No Data,No Data,0.000,Carton,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15F1S-2J,Inverter-FRN15F1S-2J,Inverters,,,,No Data,No Data,0.000,Carton,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN1.5F1S-4A,Inverter-FRN1.5F1S-4A,Inverters,21.5,32,23,3.9900,3.9900,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15F1S-4A,Inverter-FRN15F1S-4A,Inverters,30,34,32,8.2400,8.2400,0.033,Carton,,8,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
FRN1.5F1S-4E,Inverter-FRN1.5F1S-4E,Inverters,21.5,32,23,4.0200,4.0200,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15F1S-4E,Inverter-FRN15F1S-4E,Inverters,30,34,32,8.1500,8.1500,0.033,Carton,,8,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
FRN1.5F1S-4J,Inverter-FRN1.5F1S-4J,Inverters,,,,No Data,No Data,0.000,Carton,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15F1S-4J,Inverter-FRN15F1S-4J,Inverters,,,,No Data,No Data,0.000,Carton,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN1.5G1E-4A,Inverter-FRN1.5G1E-4A,Inverters,21.5,32,23,3.5120,3.5120,0.016,Carton,,3.5,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15G1E-4A,Inverter-FRN15G1E-4A,Inverters,32.5,47,30,13.0250,13.0250,0.046,Carton,,12.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G1E-4E,Inverter-FRN1.5G1E-4E,Inverters,21.5,32,23,3.4680,3.4680,0.016,Carton,,3.5,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15G1E-4E,Inverter-FRN15G1E-4E,Inverters,32.5,47,30,12.8700,12.8700,0.046,Carton,,12.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G1E-4EAQ,Inverter-FRN1.5G1E-4EAQ,Inverters,,,,No Data,No Data,0.000,Carton,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15G1E-4EAQ,Inverter-FRN15G1E-4EAQ,Inverters,,,,No Data,No Data,0.000,Carton,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN1.5G1S-2A,Inverter-FRN1.5G1S-2A,Inverters,21.5,32,23,3.3200,3.3200,0.016,Carton,,3.6,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15G1S-2A,Inverter-FRN15G1S-2A,Inverters,32.5,47,30,12.4930,12.4930,0.046,Carton,,11.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G1S-2T,Inverter-FRN1.5G1S-2T,Inverters,,,,No Data,No Data,0.000,Carton,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15G1S-2T,Inverter-FRN15G1S-2T,Inverters,32.5,47,30,No Data,No Data,0.046,Carton,,11.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G1S-4A,Inverter-FRN1.5G1S-4A,Inverters,21.5,32,23,3.3600,3.3600,0.016,Carton,7,3.4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15G1S-4A,Inverter-FRN15G1S-4A,Inverters,32.5,47,30,12.0970,12.0970,0.046,Carton,7,11.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G1S-4T,Inverter-FRN1.5G1S-4T,Inverters,,,,No Data,No Data,0.000,Carton,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN15G1S-4T,Inverter-FRN15G1S-4T,Inverters,32.5,47,30,No Data,No Data,0.046,Carton,,11.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15G2S-2J,Inverter-FRN15G2S-2J,Inverters,32.5,47,30,11.8920,11.8920,0.046,Carton,5,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G2S-2J,Inverter-FRN1.5G2S-2J,Inverters,21.5,32,23,3.0840,3.0840,0.016,Carton,5,,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15G2S-4J,Inverter-FRN15G2S-4J,Inverters,32.5,47,30,11.4100,11.4100,0.046,Carton,6,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN1.5G2S-4J,Inverter-FRN1.5G2S-4J,Inverters,21.5,32,23,3.1080,3.1080,0.016,Carton Case,6,,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN15LM1S-2EA,Inverter-FRN15LM1S-2EA,Inverters,32.5,47,30,12.4830,12.4830,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15LM1S-2SD,Inverter-FRN15LM1S-2SD,Inverters,32.5,47,30,No Data,No Data,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15LM1S-4AA,Inverter-FRN15LM1S-4AA,Inverters,32.5,47,30,12.3610,12.3610,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15LM1S-4E,Inverter-FRN15LM1S-4E,Inverters,32.5,47,30,12.4250,12.4250,0.046,Carton,5,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15LM1S-4EA,Inverter-FRN15LM1S-4EA,Inverters,32.5,47,30,12.3700,12.3700,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN15LM1S-4SD,Inverter-FRN15LM1S-4SD,Inverters,32.5,47,30,12.4200,12.4200,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN160AQ1S-4A,Inverter-FRN160AQ1S-4A,Inverters,75,155,60,117.0000,138.0000,0.698,Carton Case,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160AQ1S-4E,Inverter-FRN160AQ1S-4E,Inverters,75,155,60,117.0000,144.0000,0.698,Carton Case,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160AR1S-4A,Inverter-FRN160AR1S-4A,Inverters,68,153,57,117.0000,135.0000,0.593,Carton Case,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160AR1S-4E,Inverter-FRN160AR1S-4E,Inverters,75,155,60,117.0000,139.0000,0.698,Carton Case,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160F1S-4A,Inverter-FRN160F1S-4A,Inverters,65,130,55,94.0000,104.0000,0.465,Carton Case,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160F1S-4E,Inverter-FRN160F1S-4E,Inverters,65,130,55,No Data,No Data,0.465,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160F1S-4J,Inverter-FRN160F1S-4J,Inverters,65,130,55,94.0000,104.0000,0.465,Carton Case,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160G1E-4A,Inverter-FRN160G1E-4A,Inverters,65,110,50,96.0000,105.0000,0.358,Carton Case,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160G1E-4E,Inverter-FRN160G1E-4E,Inverters,75,155,60,107.0000,115.0000,0.698,Carton Case,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160G1E-4EAQ,Inverter-FRN160G1E-4EAQ,Inverters,,,,No Data,No Data,0.000,Carton Case,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160G1E-4EBU,Inverter-FRN160G1E-4EBU,Inverters,,,,No Data,No Data,0.000,Carton Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN160G1S-4A,Inverter-FRN160G1S-4A,Inverters,65,110,50,103.0000,105.0000,0.358,Carton Case,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
