SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
FRN55AR1L-4TX,Inverter-FRN55AR1L-4TX,Inverters,42,102,57,69.0000,74.0000,0.244,Carton Case,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5AR1M-4A,Inverter-FRN5.5AR1M-4A,Inverters,23.5,55,34.5,10.5610,10.5610,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AR1M-4A,Inverter-FRN55AR1M-4A,Inverters,41,88,50,45.0000,50.0000,0.180,Carton Case,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5AR1M-4E,Inverter-FRN5.5AR1M-4E,Inverters,23.5,55,34.5,10.5910,10.5910,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AR1M-4E,Inverter-FRN55AR1M-4E,Inverters,41,88,50,49.0000,50.0000,0.180,Carton Case,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN55AR1S-2J,Inverter-FRN55AR1S-2J,Inverters,44,122,50,42.0000,59.0000,0.268,Carton Case,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5C2S-2J,Inverter-FRN5.5C2S-2J,Inverters,25.5,30,25.5,4.2770,4.2770,0.020,Carton,5,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5C2S-4J,Inverter-FRN5.5C2S-4J,Inverters,25.5,30,25.5,4.1810,4.1810,0.020,Carton,5,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1E-4A,Inverter-FRN5.5E1E-4A,Inverters,23,42,30,6.3200,6.3200,0.029,Carton,,6,,,1,,,2,,,4,,,8,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN5.5E1E-4E,Inverter-FRN5.5E1E-4E,Inverters,23,42,30,6.2500,6.2500,0.029,Carton,,6,,,1,,,2,,,4,,,8,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN5.5E1S-2A,Inverter-FRN5.5E1S-2A,Inverters,25.5,30,25.5,4.2700,4.2700,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-2BM1,Inverter-FRN5.5E1S-2BM1,Inverters,25.5,30,25.5,4.2370,4.2370,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-2LM1,Inverter-FRN5.5E1S-2LM1,Inverters,25.5,30,25.5,4.2330,4.2330,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4A,Inverter-FRN5.5E1S-4A,Inverters,25.5,30,25.5,4.2800,4.2800,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4BM1,Inverter-FRN5.5E1S-4BM1,Inverters,25.5,30,25.5,4.3000,4.3000,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4E,Inverter-FRN5.5E1S-4E,Inverters,25.5,30,25.5,4.3300,4.3300,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4JSF1E,Inverter-FRN5.5E1S-4JSF1E,Inverters,25.5,30,25.5,4.4400,4.4400,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4LM,Inverter-FRN5.5E1S-4LM,Inverters,,,,No Data,No Data,0.000,Carton,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN5.5E1S-4LM1,Inverter-FRN5.5E1S-4LM1,Inverters,25.5,30,25.5,4.2790,4.2790,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5E1S-4LM2,Inverter-FRN5.5E1S-4LM2,Inverters,,,,No Data,No Data,0.000,Carton,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN5.5E1S-4LM3,Inverter-FRN5.5E1S-4LM3,Inverters,25.5,30,25.5,4.3100,4.3100,0.020,Carton,,4.5,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN5.5F1S-2J,Inverter-FRN5.5F1S-2J,Inverters,,,,No Data,No Data,0.000,Carton,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
FRN55F1S-2J,Inverter-FRN55F1S-2J,Inverters,49,80,53,No Data,No Data,0.208,Carton Case,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5F1S-4A,Inverter-FRN5.5F1S-4A,Inverters,21.5,32,23,4.3200,4.3200,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN55F1S-4A,Inverter-FRN55F1S-4A,Inverters,49,80,53,35.0000,40.0000,0.208,Carton Case,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
