gw,sideBoxWeight,height,updatedAt,length,productType,cbm,name,stackingLimit,lastUpdated,width,sku,nw,packingRules.boxes.47x66x68.perLayer,packingRules.boxes.47x66x68.layers,packingRules.boxes.47x66x68.totalQty,packingRules.boxes.57x64x84.layers,packingRules.boxes.57x64x84.perLayer,packingRules.boxes.57x64x84.totalQty,packingRules.boxes.70x100x90.perLayer,packingRules.boxes.70x100x90.layers,packingRules.boxes.70x100x90.totalQty,packingRules.boxes.68x74x86.layers,packingRules.boxes.68x74x86.perLayer,packingRules.boxes.68x74x86.totalQty,packingRules.rtn.totalQty,packingRules.rtn.perLayer,packingRules.rtn.layers,packingRules.pallets.80x120x115.layers,packingRules.pallets.80x120x115.perLayer,packingRules.pallets.80x120x115.totalQty,packingRules.pallets.80x120x90.perLayer,packingRules.pallets.80x120x90.layers,packingRules.pallets.80x120x90.totalQty,packingRules.pallets.110x110x90.totalQty,packingRules.pallets.110x110x90.perLayer,packingRules.pallets.110x110x90.layers,packingRules.pallets.110x110x115.totalQty,packingRules.pallets.110x110x115.layers,packingRules.pallets.110x110x115.perLayer,packingRules.warp,category,__id,__path,__createTime,__updateTime,packingRules.boxes.42x46x68.totalQty,packingRules.boxes.42x46x68.perLayer,packingRules.boxes.42x46x68.layers,packingRules.pallets.80x120x65.totalQty,packingRules.pallets.80x120x65.perLayer,packingRules.pallets.80x120x65.layers,packingRules.pallets.110x110x65.layers,packingRules.pallets.110x110x65.perLayer,packingRules.pallets.110x110x65.totalQty,unit
55,56,46,2026-02-03T15:16:34.088Z,87,Carton Case,0.2,Inverter-EQ7-2075-C,0,2026-02-03,50,EQ7-2075-C,53,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2075-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2075-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
75,74,53,2026-02-03T15:16:34.088Z,130,Carton Case,0.365,Inverter-EQ7-2100-C,2,2026-02-03,53,EQ7-2100-C,72,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2100-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2100-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
106,104.6,60,2026-02-03T15:16:34.088Z,131,Carton Case,0.534,Inverter-EQ7-2125-C,0,2026-02-03,68,EQ7-2125-C,89,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2125-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2125-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
158,162.6,60,2026-02-03T15:16:34.088Z,155,Carton Case,0.791,Inverter-EQ7-2150-C,0,2026-02-03,85,EQ7-2150-C,148,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2150-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2150-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
3.238,2.8,23,2026-02-03T15:16:34.088Z,31.5,Carton,0.014,Inverter-EQ7-4001-C,0,2026-02-03,19,EQ7-4001-C,3.238,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,False,Inverters,EQ7-4001-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4001-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
4.147,3.3,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-4002-C,0,2026-02-03,23.5,EQ7-4002-C,4.147,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-4002-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4002-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
4.175,4,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-4003-C,0,2026-02-03,23.5,EQ7-4003-C,4.175,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-4003-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4003-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
4.485,,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-4005-C,0,2026-02-03,23.5,EQ7-4005-C,4.485,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-4005-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4005-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
8.588,7.2,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-4007-C,0,2026-02-03,31,EQ7-4007-C,8.588,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-4007-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4007-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.565,7.2,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-4010-C,0,2026-02-03,31,EQ7-4010-C,8.565,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-4010-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4010-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.693,7.2,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-4015-C,5,2026-02-03,31,EQ7-4015-C,8.693,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-4015-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4015-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.021,,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-4020-C,0,2026-02-03,31,EQ7-4020-C,8.021,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-4020-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4020-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
13.17,11.3,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-4025-C,0,2026-02-03,35,EQ7-4025-C,13.17,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-4025-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4025-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
13.285,,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-4030-C,0,2026-02-03,35,EQ7-4030-C,13.285,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-4030-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4030-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
13.483,11.3,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-4040-C,0,2026-02-03,35,EQ7-4040-C,13.483,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-4040-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4040-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
40,39,53,2026-02-03T15:16:34.088Z,80,Carton Case,0.208,Inverter-EQ7-4050-C,3,2026-02-03,49,EQ7-4050-C,32,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-4050-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4050-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
40,39,53,2026-02-03T15:16:34.088Z,80,Carton Case,0.208,Inverter-EQ7-4060-C,2,2026-02-03,49,EQ7-4060-C,32,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-4060-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4060-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
43,,53,2026-02-03T15:16:34.088Z,80,Carton Case,0.208,Inverter-EQ7-4075-C,2,2026-02-03,49,EQ7-4075-C,39,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-4075-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-4075-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
